cam_token,ann_token,bounding_box,future_bounding_box,K,attribute,label,future_label
"[""73c5e731a3795fcbbf661e059fe3a5eb"", ""e32b91825839506db85de922ba30c406"", ""fc753b4d877b55da8f4260f5a035c91a"", ""83638f6d9a885720a9c313c9b3e317df"", ""56cebdfb669950cbbecad84bc6ffde87"", ""3f41c7faba165170b1f48378b678a3bc"", ""585fd1e921f35f1f8cd65a465c51d286"", ""f008ddf3312c5eedb084c20df9593711""]","[""3772efd180025a63939640c2435f9657"", ""df5ac1998fa25b28a52aa3dbe92d6043"", ""816a64ed2daf50c68304f278a75d9dd2"", ""69f26a15a56e55f08f809eb5ad73b2ac"", ""84b547324bfe577cb535904022a90dfd"", ""6f9f48cb57a95e1abac303790d621fc9"", ""1bf6b5aa720e5649a11315ee944edcf0"", ""b8b5d57636be5627bd7fff02571a7fcc""]","[[7.367268085479736, 1.2327196598052979, 0.03694462031126022, 1.052409052848816, 0.5710006356239319, 1.886413812637329], [7.204028606414795, 1.2817414999008179, 0.08627104759216309, 0.9505473375320435, 0.570889949798584, 1.8315128087997437], [7.076046943664551, 1.456615686416626, -0.056147292256355286, 0.8833217620849609, 0.5236188173294067, 1.7587590217590332], [6.901360511779785, 1.4981610774993896, -0.037997767329216, 0.9771060943603516, 0.6331955194473267, 1.8368709087371826]]","[[6.773697376251221, 1.5451817512512207, -0.013077490031719208, 0.9689477682113647, 0.5458685159683228, 1.8700731992721558], [6.630555629730225, 1.678627371788025, -0.025279365479946136, 0.9447578191757202, 0.5401347279548645, 1.9002597332000732], [6.465451717376709, 1.676419973373413, -0.02328677475452423, 0.9371588230133057, 0.506188690662384, 1.911566138267517], [6.277157306671143, 1.7209322452545166, -0.022784560918807983, 0.9178930521011353, 0.5287279486656189, 1.8470182418823242]]","[[1382.101318359375, 0.0, 965.1046142578125], [0.0, 1379.08544921875, 528.9662475585938], [0.0, 0.0, 1.0]]","[""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian""]","[[1], [1], [1], [1]]","[[1], [1], [1], [1]]"
"[""e32b91825839506db85de922ba30c406"", ""fc753b4d877b55da8f4260f5a035c91a"", ""83638f6d9a885720a9c313c9b3e317df"", ""56cebdfb669950cbbecad84bc6ffde87"", ""3f41c7faba165170b1f48378b678a3bc"", ""585fd1e921f35f1f8cd65a465c51d286"", ""f008ddf3312c5eedb084c20df9593711"", ""c438d391f902509c919b7f5cb9851db5""]","[""df5ac1998fa25b28a52aa3dbe92d6043"", ""816a64ed2daf50c68304f278a75d9dd2"", ""69f26a15a56e55f08f809eb5ad73b2ac"", ""84b547324bfe577cb535904022a90dfd"", ""6f9f48cb57a95e1abac303790d621fc9"", ""1bf6b5aa720e5649a11315ee944edcf0"", ""b8b5d57636be5627bd7fff02571a7fcc"", ""61724c96b0925cadafd926ac471078c7""]","[[7.204028606414795, 1.2817414999008179, 0.08627104759216309, 0.9505473375320435, 0.570889949798584, 1.8315128087997437], [7.076046943664551, 1.456615686416626, -0.056147292256355286, 0.8833217620849609, 0.5236188173294067, 1.7587590217590332], [6.901360511779785, 1.4981610774993896, -0.037997767329216, 0.9771060943603516, 0.6331955194473267, 1.8368709087371826], [6.773697376251221, 1.5451817512512207, -0.013077490031719208, 0.9689477682113647, 0.5458685159683228, 1.8700731992721558]]","[[6.630555629730225, 1.678627371788025, -0.025279365479946136, 0.9447578191757202, 0.5401347279548645, 1.9002597332000732], [6.465451717376709, 1.676419973373413, -0.02328677475452423, 0.9371588230133057, 0.506188690662384, 1.911566138267517], [6.277157306671143, 1.7209322452545166, -0.022784560918807983, 0.9178930521011353, 0.5287279486656189, 1.8470182418823242], [6.109728813171387, 1.8230913877487183, -0.05206441879272461, 0.9008772969245911, 0.4894290864467621, 1.8640861511230469]]","[[1382.101318359375, 0.0, 965.1046142578125], [0.0, 1379.08544921875, 528.9662475585938], [0.0, 0.0, 1.0]]","[""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian""]","[[1], [1], [1], [1]]","[[1], [1], [1], [1]]"
"[""fc753b4d877b55da8f4260f5a035c91a"", ""83638f6d9a885720a9c313c9b3e317df"", ""56cebdfb669950cbbecad84bc6ffde87"", ""3f41c7faba165170b1f48378b678a3bc"", ""585fd1e921f35f1f8cd65a465c51d286"", ""f008ddf3312c5eedb084c20df9593711"", ""c438d391f902509c919b7f5cb9851db5"", ""50ee0c59f8b852ceb58ffecee22d8532""]","[""816a64ed2daf50c68304f278a75d9dd2"", ""69f26a15a56e55f08f809eb5ad73b2ac"", ""84b547324bfe577cb535904022a90dfd"", ""6f9f48cb57a95e1abac303790d621fc9"", ""1bf6b5aa720e5649a11315ee944edcf0"", ""b8b5d57636be5627bd7fff02571a7fcc"", ""61724c96b0925cadafd926ac471078c7"", ""1224cefa29c8582880e093fbcf847c5b""]","[[7.076046943664551, 1.456615686416626, -0.056147292256355286, 0.8833217620849609, 0.5236188173294067, 1.7587590217590332], [6.901360511779785, 1.4981610774993896, -0.037997767329216, 0.9771060943603516, 0.6331955194473267, 1.8368709087371826], [6.773697376251221, 1.5451817512512207, -0.013077490031719208, 0.9689477682113647, 0.5458685159683228, 1.8700731992721558], [6.630555629730225, 1.678627371788025, -0.025279365479946136, 0.9447578191757202, 0.5401347279548645, 1.9002597332000732]]","[[6.465451717376709, 1.676419973373413, -0.02328677475452423, 0.9371588230133057, 0.506188690662384, 1.911566138267517], [6.277157306671143, 1.7209322452545166, -0.022784560918807983, 0.9178930521011353, 0.5287279486656189, 1.8470182418823242], [6.109728813171387, 1.8230913877487183, -0.05206441879272461, 0.9008772969245911, 0.4894290864467621, 1.8640861511230469], [5.958041667938232, 1.778165578842163, -0.04524501413106918, 0.8775503635406494, 0.5146138072013855, 1.8041852712631226]]","[[1382.101318359375, 0.0, 965.1046142578125], [0.0, 1379.08544921875, 528.9662475585938], [0.0, 0.0, 1.0]]","[""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian""]","[[1], [1], [1], [1]]","[[1], [1], [1], [1]]"
"[""83638f6d9a885720a9c313c9b3e317df"", ""56cebdfb669950cbbecad84bc6ffde87"", ""3f41c7faba165170b1f48378b678a3bc"", ""585fd1e921f35f1f8cd65a465c51d286"", ""f008ddf3312c5eedb084c20df9593711"", ""c438d391f902509c919b7f5cb9851db5"", ""50ee0c59f8b852ceb58ffecee22d8532"", ""275c7dbde9c4567d8b031e072c7e47a5""]","[""69f26a15a56e55f08f809eb5ad73b2ac"", ""84b547324bfe577cb535904022a90dfd"", ""6f9f48cb57a95e1abac303790d621fc9"", ""1bf6b5aa720e5649a11315ee944edcf0"", ""b8b5d57636be5627bd7fff02571a7fcc"", ""61724c96b0925cadafd926ac471078c7"", ""1224cefa29c8582880e093fbcf847c5b"", ""f4c69e9ef6e65e80994283ee84f3882b""]","[[6.901360511779785, 1.4981610774993896, -0.037997767329216, 0.9771060943603516, 0.6331955194473267, 1.8368709087371826], [6.773697376251221, 1.5451817512512207, -0.013077490031719208, 0.9689477682113647, 0.5458685159683228, 1.8700731992721558], [6.630555629730225, 1.678627371788025, -0.025279365479946136, 0.9447578191757202, 0.5401347279548645, 1.9002597332000732], [6.465451717376709, 1.676419973373413, -0.02328677475452423, 0.9371588230133057, 0.506188690662384, 1.911566138267517]]","[[6.277157306671143, 1.7209322452545166, -0.022784560918807983, 0.9178930521011353, 0.5287279486656189, 1.8470182418823242], [6.109728813171387, 1.8230913877487183, -0.05206441879272461, 0.9008772969245911, 0.4894290864467621, 1.8640861511230469], [5.958041667938232, 1.778165578842163, -0.04524501413106918, 0.8775503635406494, 0.5146138072013855, 1.8041852712631226], [5.808498382568359, 1.8546258211135864, -0.07205075025558472, 0.8953816294670105, 0.5940421223640442, 1.7426363229751587]]","[[1382.101318359375, 0.0, 965.1046142578125], [0.0, 1379.08544921875, 528.9662475585938], [0.0, 0.0, 1.0]]","[""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian""]","[[1], [1], [1], [1]]","[[1], [1], [1], [1]]"
"[""56cebdfb669950cbbecad84bc6ffde87"", ""3f41c7faba165170b1f48378b678a3bc"", ""585fd1e921f35f1f8cd65a465c51d286"", ""f008ddf3312c5eedb084c20df9593711"", ""c438d391f902509c919b7f5cb9851db5"", ""50ee0c59f8b852ceb58ffecee22d8532"", ""275c7dbde9c4567d8b031e072c7e47a5"", ""c202fecd75d155f393dbd868bb987818""]","[""84b547324bfe577cb535904022a90dfd"", ""6f9f48cb57a95e1abac303790d621fc9"", ""1bf6b5aa720e5649a11315ee944edcf0"", ""b8b5d57636be5627bd7fff02571a7fcc"", ""61724c96b0925cadafd926ac471078c7"", ""1224cefa29c8582880e093fbcf847c5b"", ""f4c69e9ef6e65e80994283ee84f3882b"", ""0ec6da64ddf9550c98d565f3b968785d""]","[[6.773697376251221, 1.5451817512512207, -0.013077490031719208, 0.9689477682113647, 0.5458685159683228, 1.8700731992721558], [6.630555629730225, 1.678627371788025, -0.025279365479946136, 0.9447578191757202, 0.5401347279548645, 1.9002597332000732], [6.465451717376709, 1.676419973373413, -0.02328677475452423, 0.9371588230133057, 0.506188690662384, 1.911566138267517], [6.277157306671143, 1.7209322452545166, -0.022784560918807983, 0.9178930521011353, 0.5287279486656189, 1.8470182418823242]]","[[6.109728813171387, 1.8230913877487183, -0.05206441879272461, 0.9008772969245911, 0.4894290864467621, 1.8640861511230469], [5.958041667938232, 1.778165578842163, -0.04524501413106918, 0.8775503635406494, 0.5146138072013855, 1.8041852712631226], [5.808498382568359, 1.8546258211135864, -0.07205075025558472, 0.8953816294670105, 0.5940421223640442, 1.7426363229751587], [5.721189498901367, 1.9942253828048706, -0.09382542967796326, 0.8880465626716614, 0.5193994045257568, 1.7947839498519897]]","[[1382.101318359375, 0.0, 965.1046142578125], [0.0, 1379.08544921875, 528.9662475585938], [0.0, 0.0, 1.0]]","[""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian""]","[[1], [1], [1], [1]]","[[1], [1], [1], [1]]"
"[""3f41c7faba165170b1f48378b678a3bc"", ""585fd1e921f35f1f8cd65a465c51d286"", ""f008ddf3312c5eedb084c20df9593711"", ""c438d391f902509c919b7f5cb9851db5"", ""50ee0c59f8b852ceb58ffecee22d8532"", ""275c7dbde9c4567d8b031e072c7e47a5"", ""c202fecd75d155f393dbd868bb987818"", ""58174a4729f5559fad70e4df0870584f""]","[""6f9f48cb57a95e1abac303790d621fc9"", ""1bf6b5aa720e5649a11315ee944edcf0"", ""b8b5d57636be5627bd7fff02571a7fcc"", ""61724c96b0925cadafd926ac471078c7"", ""1224cefa29c8582880e093fbcf847c5b"", ""f4c69e9ef6e65e80994283ee84f3882b"", ""0ec6da64ddf9550c98d565f3b968785d"", ""a46c6e06976f52889230dfec77bb1735""]","[[6.630555629730225, 1.678627371788025, -0.025279365479946136, 0.9447578191757202, 0.5401347279548645, 1.9002597332000732], [6.465451717376709, 1.676419973373413, -0.02328677475452423, 0.9371588230133057, 0.506188690662384, 1.911566138267517], [6.277157306671143, 1.7209322452545166, -0.022784560918807983, 0.9178930521011353, 0.5287279486656189, 1.8470182418823242], [6.109728813171387, 1.8230913877487183, -0.05206441879272461, 0.9008772969245911, 0.4894290864467621, 1.8640861511230469]]","[[5.958041667938232, 1.778165578842163, -0.04524501413106918, 0.8775503635406494, 0.5146138072013855, 1.8041852712631226], [5.808498382568359, 1.8546258211135864, -0.07205075025558472, 0.8953816294670105, 0.5940421223640442, 1.7426363229751587], [5.721189498901367, 1.9942253828048706, -0.09382542967796326, 0.8880465626716614, 0.5193994045257568, 1.7947839498519897], [5.555648326873779, 2.038191080093384, -0.038904525339603424, 0.9492890238761902, 0.5410922765731812, 1.7697362899780273]]","[[1382.101318359375, 0.0, 965.1046142578125], [0.0, 1379.08544921875, 528.9662475585938], [0.0, 0.0, 1.0]]","[""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian""]","[[1], [1], [1], [1]]","[[1], [1], [1], [1]]"
"[""585fd1e921f35f1f8cd65a465c51d286"", ""f008ddf3312c5eedb084c20df9593711"", ""c438d391f902509c919b7f5cb9851db5"", ""50ee0c59f8b852ceb58ffecee22d8532"", ""275c7dbde9c4567d8b031e072c7e47a5"", ""c202fecd75d155f393dbd868bb987818"", ""58174a4729f5559fad70e4df0870584f"", ""3fc254a4436c5d7d8e3dcc791f24b5f1""]","[""1bf6b5aa720e5649a11315ee944edcf0"", ""b8b5d57636be5627bd7fff02571a7fcc"", ""61724c96b0925cadafd926ac471078c7"", ""1224cefa29c8582880e093fbcf847c5b"", ""f4c69e9ef6e65e80994283ee84f3882b"", ""0ec6da64ddf9550c98d565f3b968785d"", ""a46c6e06976f52889230dfec77bb1735"", ""7b7c5e7de5d25c1e96e04f4fab9f4f95""]","[[6.465451717376709, 1.676419973373413, -0.02328677475452423, 0.9371588230133057, 0.506188690662384, 1.911566138267517], [6.277157306671143, 1.7209322452545166, -0.022784560918807983, 0.9178930521011353, 0.5287279486656189, 1.8470182418823242], [6.109728813171387, 1.8230913877487183, -0.05206441879272461, 0.9008772969245911, 0.4894290864467621, 1.8640861511230469], [5.958041667938232, 1.778165578842163, -0.04524501413106918, 0.8775503635406494, 0.5146138072013855, 1.8041852712631226]]","[[5.808498382568359, 1.8546258211135864, -0.07205075025558472, 0.8953816294670105, 0.5940421223640442, 1.7426363229751587], [5.721189498901367, 1.9942253828048706, -0.09382542967796326, 0.8880465626716614, 0.5193994045257568, 1.7947839498519897], [5.555648326873779, 2.038191080093384, -0.038904525339603424, 0.9492890238761902, 0.5410922765731812, 1.7697362899780273], [5.398158550262451, 2.0850446224212646, -0.0790577083826065, 1.0006098747253418, 0.5563765168190002, 1.9133559465408325]]","[[1382.101318359375, 0.0, 965.1046142578125], [0.0, 1379.08544921875, 528.9662475585938], [0.0, 0.0, 1.0]]","[""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian""]","[[1], [1], [1], [1]]","[[1], [1], [1], [1]]"
"[""f008ddf3312c5eedb084c20df9593711"", ""c438d391f902509c919b7f5cb9851db5"", ""50ee0c59f8b852ceb58ffecee22d8532"", ""275c7dbde9c4567d8b031e072c7e47a5"", ""c202fecd75d155f393dbd868bb987818"", ""58174a4729f5559fad70e4df0870584f"", ""3fc254a4436c5d7d8e3dcc791f24b5f1"", ""6b43bd95a6f4588c9aef819d6ed68595""]","[""b8b5d57636be5627bd7fff02571a7fcc"", ""61724c96b0925cadafd926ac471078c7"", ""1224cefa29c8582880e093fbcf847c5b"", ""f4c69e9ef6e65e80994283ee84f3882b"", ""0ec6da64ddf9550c98d565f3b968785d"", ""a46c6e06976f52889230dfec77bb1735"", ""7b7c5e7de5d25c1e96e04f4fab9f4f95"", ""b1398d55bf845d539cda28cea04801c2""]","[[6.277157306671143, 1.7209322452545166, -0.022784560918807983, 0.9178930521011353, 0.5287279486656189, 1.8470182418823242], [6.109728813171387, 1.8230913877487183, -0.05206441879272461, 0.9008772969245911, 0.4894290864467621, 1.8640861511230469], [5.958041667938232, 1.778165578842163, -0.04524501413106918, 0.8775503635406494, 0.5146138072013855, 1.8041852712631226], [5.808498382568359, 1.8546258211135864, -0.07205075025558472, 0.8953816294670105, 0.5940421223640442, 1.7426363229751587]]","[[5.721189498901367, 1.9942253828048706, -0.09382542967796326, 0.8880465626716614, 0.5193994045257568, 1.7947839498519897], [5.555648326873779, 2.038191080093384, -0.038904525339603424, 0.9492890238761902, 0.5410922765731812, 1.7697362899780273], [5.398158550262451, 2.0850446224212646, -0.0790577083826065, 1.0006098747253418, 0.5563765168190002, 1.9133559465408325], [5.225424289703369, 2.2228751182556152, -0.11304472386837006, 0.9103502631187439, 0.5164734125137329, 1.7565078735351562]]","[[1382.101318359375, 0.0, 965.1046142578125], [0.0, 1379.08544921875, 528.9662475585938], [0.0, 0.0, 1.0]]","[""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian""]","[[1], [1], [1], [1]]","[[1], [1], [1], [1]]"
"[""c438d391f902509c919b7f5cb9851db5"", ""50ee0c59f8b852ceb58ffecee22d8532"", ""275c7dbde9c4567d8b031e072c7e47a5"", ""c202fecd75d155f393dbd868bb987818"", ""58174a4729f5559fad70e4df0870584f"", ""3fc254a4436c5d7d8e3dcc791f24b5f1"", ""6b43bd95a6f4588c9aef819d6ed68595"", ""9fea1f549891525ebfcbd4e40c1f7e77""]","[""61724c96b0925cadafd926ac471078c7"", ""1224cefa29c8582880e093fbcf847c5b"", ""f4c69e9ef6e65e80994283ee84f3882b"", ""0ec6da64ddf9550c98d565f3b968785d"", ""a46c6e06976f52889230dfec77bb1735"", ""7b7c5e7de5d25c1e96e04f4fab9f4f95"", ""b1398d55bf845d539cda28cea04801c2"", ""3b910361086e52b4a3ca782374fd97a8""]","[[6.109728813171387, 1.8230913877487183, -0.05206441879272461, 0.9008772969245911, 0.4894290864467621, 1.8640861511230469], [5.958041667938232, 1.778165578842163, -0.04524501413106918, 0.8775503635406494, 0.5146138072013855, 1.8041852712631226], [5.808498382568359, 1.8546258211135864, -0.07205075025558472, 0.8953816294670105, 0.5940421223640442, 1.7426363229751587], [5.721189498901367, 1.9942253828048706, -0.09382542967796326, 0.8880465626716614, 0.5193994045257568, 1.7947839498519897]]","[[5.555648326873779, 2.038191080093384, -0.038904525339603424, 0.9492890238761902, 0.5410922765731812, 1.7697362899780273], [5.398158550262451, 2.0850446224212646, -0.0790577083826065, 1.0006098747253418, 0.5563765168190002, 1.9133559465408325], [5.225424289703369, 2.2228751182556152, -0.11304472386837006, 0.9103502631187439, 0.5164734125137329, 1.7565078735351562], [5.100254535675049, 2.233161687850952, -0.07056504487991333, 0.845724880695343, 0.5947895050048828, 1.8966761827468872]]","[[1382.101318359375, 0.0, 965.1046142578125], [0.0, 1379.08544921875, 528.9662475585938], [0.0, 0.0, 1.0]]","[""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian""]","[[1], [1], [1], [1]]","[[1], [1], [1], [1]]"
"[""50ee0c59f8b852ceb58ffecee22d8532"", ""275c7dbde9c4567d8b031e072c7e47a5"", ""c202fecd75d155f393dbd868bb987818"", ""58174a4729f5559fad70e4df0870584f"", ""3fc254a4436c5d7d8e3dcc791f24b5f1"", ""6b43bd95a6f4588c9aef819d6ed68595"", ""9fea1f549891525ebfcbd4e40c1f7e77"", ""25ed9f8d73055c46bb3cc80588e7f63a""]","[""1224cefa29c8582880e093fbcf847c5b"", ""f4c69e9ef6e65e80994283ee84f3882b"", ""0ec6da64ddf9550c98d565f3b968785d"", ""a46c6e06976f52889230dfec77bb1735"", ""7b7c5e7de5d25c1e96e04f4fab9f4f95"", ""b1398d55bf845d539cda28cea04801c2"", ""3b910361086e52b4a3ca782374fd97a8"", ""0ecbd49a629a54f7b777e93c20f68c1f""]","[[5.958041667938232, 1.778165578842163, -0.04524501413106918, 0.8775503635406494, 0.5146138072013855, 1.8041852712631226], [5.808498382568359, 1.8546258211135864, -0.07205075025558472, 0.8953816294670105, 0.5940421223640442, 1.7426363229751587], [5.721189498901367, 1.9942253828048706, -0.09382542967796326, 0.8880465626716614, 0.5193994045257568, 1.7947839498519897], [5.555648326873779, 2.038191080093384, -0.038904525339603424, 0.9492890238761902, 0.5410922765731812, 1.7697362899780273]]","[[5.398158550262451, 2.0850446224212646, -0.0790577083826065, 1.0006098747253418, 0.5563765168190002, 1.9133559465408325], [5.225424289703369, 2.2228751182556152, -0.11304472386837006, 0.9103502631187439, 0.5164734125137329, 1.7565078735351562], [5.100254535675049, 2.233161687850952, -0.07056504487991333, 0.845724880695343, 0.5947895050048828, 1.8966761827468872], [4.969399452209473, 2.315427303314209, -0.13226908445358276, 0.8290587067604065, 0.5694395303726196, 1.7730271816253662]]","[[1382.101318359375, 0.0, 965.1046142578125], [0.0, 1379.08544921875, 528.9662475585938], [0.0, 0.0, 1.0]]","[""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian"", ""pedestrian""]","[[1], [1], [1], [1]]","[[1], [1], [1], [1]]"
